word,human.type.biggest,human.type.p1,human.type.p2,human.type.p3,human.type.p4,human.type.p5,human.type.pUnseen,human.token.biggest,human.token.p1,human.token.p2,human.token.p3,human.token.p4,human.token.p5,human.token.pUnseen,algo.type.biggest,algo.type.p1,algo.type.p2,algo.type.p3,algo.type.p4,algo.type.p5,algo.type.pUnseen,algo.token.biggest,algo.token.p1,algo.token.p2,algo.token.p3,algo.token.p4,algo.token.p5,algo.token.pUnseen
bully,95,95,0,0,0,0,5,98,98,0,0,0,0,1,80,80,10,0,0,0,0,80,80,15,0,0,0,0
scale,57,7,57,35,0,0,0,85,4,85,10,0,0,0,42,35,14,42,0,0,0,68,16,68,12,0,0,0
sap,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
test,100,100,0,0,0,0,0,100,100,0,0,0,0,0,87,87,12,0,0,0,0,89,89,10,0,0,0,0
lock,100,100,0,0,0,0,0,100,100,0,0,0,0,0,92,92,0,0,0,0,0,98,98,0,0,0,0,0
tower,100,100,0,0,0,0,0,100,100,0,0,0,0,0,75,75,0,0,0,0,0,78,78,0,0,0,0,0
toaster,100,100,0,0,0,0,0,100,100,0,0,0,0,0,60,60,40,0,0,0,0,72,72,27,0,0,0,0
corporal,87,12,87,0,0,0,0,69,30,69,0,0,0,0,87,12,87,0,0,0,0,69,30,69,0,0,0,0
gull,100,100,0,0,0,0,0,100,100,0,0,0,0,0,87,87,12,0,0,0,0,97,97,2,0,0,0,0
junk,94,94,5,0,0,0,0,98,98,1,0,0,0,0,94,94,5,0,0,0,0,87,87,12,0,0,0,0
chess,100,100,0,0,0,0,0,100,100,0,0,0,0,0,85,85,7,7,0,0,0,92,92,1,5,0,0,0
size,100,100,0,0,0,0,0,100,100,0,0,0,0,0,90,90,9,0,0,0,0,96,96,3,0,0,0,0
tuna,100,100,0,0,0,0,0,100,100,0,0,0,0,0,80,80,20,0,0,0,0,97,97,2,0,0,0,0
wound,83,83,16,0,0,0,0,95,95,4,0,0,0,0,75,75,16,0,0,0,0,94,94,4,0,0,0,0
rifle,100,100,0,0,0,0,0,100,100,0,0,0,0,0,80,80,20,0,0,0,0,93,93,6,0,0,0,0
mate,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
fry,100,100,0,0,0,0,0,100,100,0,0,0,0,0,94,94,0,0,0,0,0,97,97,0,0,0,0,0
cramp,85,85,14,0,0,0,0,96,96,3,0,0,0,0,50,50,35,0,0,0,0,75,75,14,0,0,0,0
compound,90,90,9,0,0,0,0,94,94,6,0,0,0,0,81,81,13,0,0,0,0,85,85,11,0,0,0,0
pit,75,75,25,0,0,0,0,83,83,16,0,0,0,0,55,55,35,0,0,0,0,73,73,20,0,0,0,0
refrain,85,85,14,0,0,0,0,95,95,4,0,0,0,0,64,64,14,0,0,0,0,90,90,4,0,0,0,0
mint,75,75,25,0,0,0,0,76,76,23,0,0,0,0,54,54,41,0,0,0,0,66,66,31,0,0,0,0
flight,88,88,11,0,0,0,0,93,93,6,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
sling,100,100,0,0,0,0,0,100,100,0,0,0,0,0,91,91,8,0,0,0,0,98,98,1,0,0,0,0
strand,61,38,61,0,0,0,0,76,23,76,0,0,0,0,53,53,46,0,0,0,0,71,28,71,0,0,0,0
scrap,85,85,5,0,0,0,5,91,91,4,0,0,0,2,75,75,25,0,0,0,0,86,86,13,0,0,0,0
boxing,92,0,92,0,0,0,7,94,0,94,0,0,0,5,42,35,42,0,0,0,0,48,41,48,0,0,0,0
pat,84,84,5,0,0,0,10,93,93,2,0,0,0,3,84,84,15,0,0,0,0,93,93,6,0,0,0,0
