word,biggest,p1,p2,p3,p4,p5,pUnseen
bunk,100,0,0,0,0,0,0
cape,98,98,2,0,0,0,0
capital,99,99,0,0,0,0,0
card,100,100,0,0,0,0,0
cashier,80,80,0,0,0,0,19
cat,100,100,0,0,0,0,0
chap,98,2,98,0,0,0,0
chase,97,97,0,0,0,0,1
chess,100,100,0,0,0,0,0
chink,95,95,5,0,0,0,0
chip,98,98,2,0,0,0,0
chord,83,12,83,0,0,0,4
chow,94,94,5,0,0,0,0
chuck,86,86,8,2,0,0,4
chum,89,89,11,0,0,0,0
chump,100,100,0,0,0,0,0
chute,60,60,2,37,0,0,0
clip,59,23,59,0,0,0,17
clock,100,100,0,0,0,0,0
clutch,100,100,0,0,0,0,0
cock,93,93,6,0,0,0,0
cocktail,94,94,0,0,0,0,5
coil,85,85,5,0,0,0,10
colon,98,2,98,0,0,0,0
coma,98,98,1,0,0,0,0
commune,54,45,54,0,0,0,0
compact,79,79,20,0,0,0,0
chop,100,0,0,0,0,0,0
compound,57,41,57,0,0,0,1
console,60,40,60,0,0,0,0
content,56,44,56,0,0,0,0
converse,93,93,6,0,0,0,0
cop,97,3,97,0,0,0,0
cope,98,98,2,0,0,0,0
corn,99,99,1,0,0,0,0
corporal,90,10,90,0,0,0,0
corrupt,100,100,0,0,0,0,0
corruption,100,100,0,0,0,0,0
cortex,100,100,0,0,0,0,0
cosmetic,100,100,0,0,0,0,0
cosmic,100,100,0,0,0,0,0
cost,100,100,0,0,0,0,0
costly,100,100,0,0,0,0,0
costume,100,100,0,0,0,0,0
cot,88,88,11,0,0,0,0
cottage,87,87,0,0,0,0,13
cotton,100,100,0,0,0,0,0
couch,100,100,0,0,0,0,0
cough,86,86,14,0,0,0,0
council,100,100,0,0,0,0,0
counsel,100,100,0,0,0,0,0
count,98,98,2,0,0,0,0
counter,70,70,10,19,0,0,0
cow,100,100,0,0,0,0,0
crab,85,85,12,0,0,0,2
cramp,69,69,21,0,0,0,0
crash,100,100,0,0,0,0,0
cricket,57,57,42,0,0,0,0
cube,100,100,0,0,0,0,0
cue,89,89,11,0,0,0,0
cuff,100,100,0,0,0,0,0
dab,96,96,3,0,0,0,0
dam,95,95,0,0,0,0,4
dent,100,100,0,0,0,0,0
desert,91,91,9,0,0,0,0
deuce,69,69,30,0,0,0,0
diet,100,100,0,0,0,0,0
