"","NumInterp","verbInterp","nounInterp","coltN","OLD","nPhon","nSyll","Length","LgSUBTLWF","Ortho_N","BG_Sum","NumMeanings","NumSenses","eDom_Biggest","algorithm.FAN_Biggest","human.FAN_Biggest","algorithm.SUBTL_Biggest","Wikipedia_Biggest"
"112",6,4,6,14,1.05,3,1,3,2.633,6,1012,2,10,88,97,100,81,72
"113",3,3,1,5,1.65,3,1,5,2.27,3,2115,2,4,73,93,100,54,55
"114",9,6,4,30,1,3,1,3,2.558,16,1398,2,10,79,51,55,76,92
"115",5,2,3,17,1,3,1,4,3.187,8,8016,2,5,95,94,100,85,100
"116",6,1,4,28,1,3,1,3,2.76,11,7473,3,5,75,92,92,66,74
"117",6,3,4,7,1.45,4,1,5,1.919,6,9962,2,7,74,98,98,84,81
"118",8,6,3,12,1,4,1,5,1.724,8,12434,2,9,75,85,94,56,86
"119",8,2,5,9,1.15,4,1,5,3.127,9,6142,4,12,56,85,90,74,91
"120",23,6,6,1,1.75,5,1,6,3.568,1,8184,2,16,74,78,89,93,100
"121",4,1,2,18,1,3,1,4,1.756,13,3029,2,3,83,97,100,80,100
"122",10,5,7,23,1,3,1,3,2.835,11,1007,2,12,65,74,73,77,58
"123",7,7,4,17,1,3,1,4,2.788,14,3496,2,12,64,70,70,63,81
